File,Otsu_Count,Otsu_G,Otsu_Carbon,Otsu_MeanArea,Watershed_Count,Watershed_G,Watershed_Carbon,Watershed_MeanArea
Carbone Steel\MB03X200 Ech.jpg,22,1.5095281456913687,0.15568938802083332,10796.40909090909,163,4.3988872218299475,0.15568938802083332,619.9018404907976
Carbone Steel\MB03X200.jpg,21,1.4424124971060799,0.15667444661458332,11285.761904761905,166,4.4251990684690625,0.15667444661458332,599.3132530120482
Carbone Steel\MB3x500.jpg,42,2.442434142701826,0.161850390625,5107.9047619047615,116,3.908129440211823,0.161850390625,1544.3793103448277
Carbone Steel\MBx200 (2).jpg,1109,7.165262596307509,0.038965427652994794,2735.945897204689,1720,7.798425500626878,0.038965427652994794,1456.375
Carbone Steel\MBx200-1.jpg,119,3.944967005745987,0.20193896938013442,6838.798319327731,464,5.908172731403314,0.20193896938013442,1530.2844827586207
Carbone Steel\mbx200-2.jpg,363,5.554009808369966,0.14330565999348957,9258.002754820936,965,6.96459973492808,0.14330565999348957,3304.617616580311
Carbone Steel\MBx200.jpg,102,3.72256977059309,0.17409303211351754,8456.990196078432,439,5.828267136244327,0.17409303211351754,1825.7881548974942
Carbone Steel\mbx200_1.jpg,769,6.637047300820353,0.3141204284667969,3399.3485045513653,1032,7.061443954401342,0.3141204284667969,2314.8207364341083
Carbone Steel\mbx200_2.jpg,233,4.914356369648435,0.12246449584960938,14867.236051502146,988,6.998582569920102,0.12246449584960938,3316.9473684210525
Carbone Steel\mbx500-2.jpg,689,6.478564255177132,0.1411776326497396,4801.158200290276,647,6.387824020381424,0.1411776326497396,4939.041731066461
Carbone Steel\mbx500.jpg,329,5.412124772989816,0.1503852986653646,9748.164133738603,695,6.491073520848357,0.1503852986653646,4521.582733812949
Duplex Stainless  Steel\100A-MB 1-X200.jpg,1016,7.038900897802926,0.0664530741373698,2376.443897637795,1399,7.5004064475418515,0.0664530741373698,1634.2330235882773
Duplex Stainless  Steel\10min. GX500.jpg,123,3.9926647802016806,0.04764375,1021.2357723577236,95,3.619997816769552,0.04764375,1139.778947368421
Duplex Stainless  Steel\130A-MB 2-X200.jpg,1201,7.280241870592454,0.07383521728515625,2442.66860949209,1214,7.295774477347751,0.07383521728515625,2243.9481054365733
Duplex Stainless  Steel\1H-GX500-02.jpg,134,4.116242140167891,0.0031381510416666663,1353.955223880597,111,3.844562935529276,0.0031381510416666663,922.9009009009009
Duplex Stainless  Steel\1H-GX500-03.jpg,103,3.7366452604705813,0.0025892252604166666,1829.0970873786407,120,3.957040099370209,0.0025892252604166666,950.3083333333333
Duplex Stainless  Steel\1H-GX500-04.jpg,109,3.8183308261587525,0.01071533203125,1120.559633027523,95,3.619997816769552,0.01071533203125,1029.5157894736842
Duplex Stainless  Steel\40MIN-G500-00.jpg,30,1.956996808178718,0.08561988932291667,5111.866666666667,75,3.2789535169872277,0.08561988932291667,1950.36
Duplex Stainless  Steel\Duplex Gx200.jpg,34,2.137572962414372,0.44767278645833336,4047.235294117647,121,3.9690130001912474,0.44767278645833336,856.0661157024794
Duplex Stainless  Steel\Duplex-Gx100-01.jpg,43,2.4763822094353865,0.4424767903645833,3925.767441860465,159,4.363041246992539,0.4424767903645833,423.1446540880503
Duplex Stainless  Steel\Ech 5 MB inox x200.jpg,45,2.5419719707616917,0.00728642578125,3488.5555555555557,106,3.7780660844095673,0.00728642578125,1275.2358490566037
Duplex Stainless  Steel\ldx 1050c x 500-4.jpg,53,2.7780444388138203,0.03519892578125,2796.509433962264,78,3.335538270137776,0.03519892578125,1792.820512820513
Duplex Stainless  Steel\MB DSSx100-3.jpg,181,4.550008225715431,0.1219135997012696,3595.193370165746,510,6.044548124997344,0.1219135997012696,1037.7254901960785
Duplex Stainless  Steel\MB DSSx100.jpg,66,3.0945249538700876,0.28048854166666665,2515.6363636363635,156,4.335559915733522,0.28048854166666665,461.5192307692308
Duplex Stainless  Steel\MB DSSx200-1.jpg,87,3.49308295719905,0.00310556640625,1489.8045977011495,123,3.9926647802016806,0.00310556640625,706.7479674796748
Duplex Stainless  Steel\MB DSSx200-2.jpg,45,2.5419719707616917,0.00728642578125,3488.5555555555557,106,3.7780660844095673,0.00728642578125,1275.2358490566037
